product_id,product_name,category,price
1,CardioPlus,Cardiac,89.95
2,HeartSafe,Cardiac,230.63
3,CardioCare,Cardiac,404.82
4,PulseMax,Cardiac,76.02
5,ArteryFlow,Cardiac,433.39
6,CardioLife,Cardiac,269.16
7,HeartWell,Cardiac,445.24
8,CardioX,Cardiac,316.35
9,VitaHeart,Cardiac,60.17
10,CardioPrime,Cardiac,205.33
11,DiaCare,Diabetes,122.77
12,SugarFree,Diabetes,405.21
13,GlucoMax,Diabetes,342.25
14,DiaLife,Diabetes,203.62
15,InsuCare,Diabetes,90.34
16,GlucoSafe,Diabetes,409.58
17,DiaPlus,Diabetes,442.46
18,SugarShield,Diabetes,356.67
19,DiaPrime,Diabetes,188.07
20,GlucoCare,Diabetes,161.24
21,NeuroMax,Neuro,380.27
22,BrainPlus,Neuro,170.66
23,NeuroCare,Neuro,345.98
24,MindWell,Neuro,117.28
25,NeuroLife,Neuro,373.31
26,BrainSafe,Neuro,270.0
27,NeuroPrime,Neuro,174.86
28,NeuroX,Neuro,174.52
29,MindCare,Neuro,457.77
30,NeuroFlow,Neuro,352.98
31,OrthoFlex,Ortho,453.99
32,BoneCare,Ortho,324.26
33,JointMax,Ortho,265.12
34,OrthoLife,Ortho,330.29
35,FlexiBone,Ortho,337.43
36,OrthoPrime,Ortho,139.45
37,JointCare,Ortho,379.87
38,BoneShield,Ortho,57.43
39,OrthoX,Ortho,157.19
40,FlexiCare,Ortho,475.78
41,SkinHeal,Dermatology,51.88
42,DermaCare,Dermatology,108.39
43,SkinPlus,Dermatology,420.58
44,DermaSafe,Dermatology,367.63
45,SkinGlow,Dermatology,221.65
46,DermaLife,Dermatology,356.62
47,SkinPrime,Dermatology,452.5
48,DermaX,Dermatology,104.24
49,GlowCare,Dermatology,412.88
50,SkinShield,Dermatology,456.91
